year,precipitation_sum,precipitation_avg,precipitation_min,precipitation_max,temperature_sum,temperature_avg,temperature_min,temperature_max,lat,lon
1969,1446.6001,3.9741762,0,91.09999,-472.76477,-1.2988043,-20.55642,14.0894165,37.92,-119.28
1970,1087.3,2.987088,0,81.5,-269.8628,-0.7413813,-18.800167,14.718582,37.92,-119.28
1971,819.80005,2.252198,0,51.6,-603.1441,-1.6569893,-20.106417,14.214416,37.92,-119.28
1972,856,2.3452055,0,79.50001,-551.48175,-1.510909,-17.46267,16.381083,37.92,-119.28
1973,1136.6,3.1225274,0,58.899998,-643.09827,-1.7667534,-23.127253,13.372749,37.92,-119.28
1974,972.7,2.672253,0,70.8,-289.01904,-0.7940084,-19.360584,12.126916,37.92,-119.28
1975,1161,3.1895604,0,78.799995,-946.09204,-2.599154,-21.002253,13.260247,37.92,-119.28
1976,609.19995,1.6690409,0,45.9,-126.86499,-0.3475753,-19.287666,13.045667,37.92,-119.28
1977,576.7,1.5843407,0,48.799995,-129.99817,-0.35713783,-18.408499,14.758167,37.92,-119.28
1978,1457.7,4.00467,0,79.200005,-300.15033,-0.82458884,-16.3585,14.841499,37.92,-119.28
1979,761.7001,2.0925827,0,53.7,-428.6233,-1.1775365,-24.468916,15.797749,37.92,-119.28
1980,1114.9,3.0545206,0,83.3,-188.4212,-0.5162225,-14.448085,15.014417,37.92,-119.28
1981,901.9,2.4777472,0,68.200005,225.88092,0.620552,-18.837664,17.120665,37.92,-119.28
1982,1513.3999,4.157692,0,88.2,-516.61487,-1.4192716,-19.023087,13.379001,37.92,-119.28
1983,1633.5999,4.4879117,0,89.399994,-438.29822,-1.204116,-17.604336,14.883166,37.92,-119.28
1984,1067,2.9232876,0,57.299995,-236.82336,-0.6488311,-17.029337,14.126916,37.92,-119.28
1985,845.19995,2.3219779,0,55.000004,-354.75238,-0.9745945,-18.470999,14.804,37.92,-119.28
1986,1322.4001,3.6329675,0,89.200005,-31.933655,-0.08772982,-19.110584,13.308167,37.92,-119.28
1987,667.9,1.8348901,0,77.50001,71.81433,0.19729212,-22.004333,14.183166,37.92,-119.28
1988,726.8,1.9912329,0,39.70001,-111.242065,-0.3047728,-23.354334,15.616501,37.92,-119.28
1989,848,2.3296704,0,53.199997,-389.00647,-1.0686991,-24.604334,14.622748,37.92,-119.28
1990,675.9,1.8568681,0,44.299995,73.89563,0.20300998,-20.808502,13.6623335,37.92,-119.28
1991,854.1,2.3464284,0,94.30001,-266.06067,-0.73093593,-27.731415,13.785251,37.92,-119.28
1941,589.2,1.6186813,0,25.2,-564.24805,-1.550132,-21.048086,17.670668,44.75,-110.25
1942,622.7,1.7107143,0,21.599998,-752.45435,-2.0671823,-28.216833,16.76025,44.75,-110.25
1943,651.3,1.7892857,0,22.199999,-431.01685,-1.1841122,-27.99392,16.781086,44.75,-110.25
1944,575.4,1.5764384,0,16.9,-524.02124,-1.4356747,-19.554333,15.454001,44.75,-110.25
1945,757.69995,2.0758903,0,22.900002,-797.2275,-2.1841848,-23.696,16.164417,44.75,-110.25
1946,660.6,1.8148351,0,21.400003,-626.5439,-1.7212744,-23.056412,16.737333,44.75,-110.25
1947,583.1,1.601923,0,12.499999,-728.62317,-2.001712,-23.471,17.137335,44.75,-110.25
1948,761.80005,2.0871234,0,20.500002,-212.47339,-0.58211887,-24.248083,17.729,44.75,-110.25
1949,714.60004,1.9631869,0,22.699997,-175.72943,-0.48277315,-24.329332,18.314417,44.75,-110.25
1950,936.5,2.5728023,0,21.499998,-499.8152,-1.3731186,-25.409164,17.40125,44.75,-110.25
