year,precipitation_sum,precipitation_avg,precipitation_min,precipitation_max,temperature_sum,temperature_avg,temperature_min,temperature_max,lat,lon
1964,356.5,0.97671235,0,27.399998,2370.5386,6.494626,-19.62992,30.892992,43.89723459,-107.963072
1965,402.2,1.1049451,0,28.8,2476.6187,6.8038974,-31.25075,29.240915,43.89723459,-107.963072
1966,261.9,0.7195055,0,18.599998,3192.4438,8.770451,-14.586166,30.880503,43.89723459,-107.963072
1967,464.3,1.2755494,0,26.600002,2677.7935,7.3565755,-18.321583,26.822168,43.89723459,-107.963072
1968,462.90002,1.2682192,0,25.800001,2268.3367,6.214621,-23.540335,28.115915,43.89723459,-107.963072
1969,310.90002,0.85412097,0,30.599998,2800.8687,7.694694,-27.657,29.328413,43.89723459,-107.963072
1970,359.5,0.98763734,0,29.7,2932.0288,8.055024,-15.277835,30.157585,43.89723459,-107.963072
1971,362.3,0.9953296,0,16.2,2572.7332,7.0679483,-20.921583,29.159666,43.89723459,-107.963072
1972,361.4,0.990137,0,17,2368.7783,6.489804,-26.779913,29.2055,43.89723459,-107.963072
1973,442.10004,1.2145605,0,28.399998,1959.3728,5.382892,-31.811167,30.597168,43.89723459,-107.963072
1974,316.8,0.8703296,0,19.2,2964.3,8.143682,-22.654915,29.703415,43.89723459,-107.963072
1975,492,1.3516483,0,23.800001,2122.11,5.8299727,-24.844498,29.697168,43.89723459,-107.963072
1976,397.90002,1.090137,0,31.199997,2405.2388,6.5896955,-22.790335,29.7055,43.89723459,-107.963072
1977,339.40002,0.93241763,0,19.899998,3072.383,8.440613,-18.354918,30.274248,43.89723459,-107.963072
1978,517,1.4203297,0,46.199997,2570.2854,7.0612235,-18.94658,28.093,43.89723459,-107.963072
1979,301.8,0.8291209,0,23.699997,2227.2957,6.118944,-31.93825,30.83883,43.89723459,-107.963072
1980,388.8,1.0652055,0,19.599998,2937.295,8.047383,-25.636168,28.701334,43.89723459,-107.963072
1981,336.2,0.9236264,0,16.8,3705.6768,10.18043,-19.715334,29.30342,43.89723459,-107.963072
1982,433.3,1.1903846,0,29.099998,2793.727,7.675074,-23.240332,29.347168,43.89723459,-107.963072
1983,348.8,0.9582417,0,21.500002,3131.2,8.602198,-17.459082,30.64717,43.89723459,-107.963072
1984,349.69998,0.95808214,0,24.4,2325.9346,6.3724236,-29.38617,28.52633,43.89723459,-107.963072
1985,297.3,0.8167582,0,28.2,2722.3584,7.479007,-27.329912,28.532583,43.89723459,-107.963072
1986,374.6,1.0291209,0,23.000002,2672.4856,7.3419933,-23.492418,28.599249,43.89723459,-107.963072
1987,306.19998,0.84120876,0,19.4,3076.2227,8.451161,-19.736168,27.63466,43.89723459,-107.963072
1988,265.90002,0.7284932,0,34.5,3371.8994,9.238081,-20.592417,30.374243,43.89723459,-107.963072
1989,335.2,0.9208791,0,31.600004,2807.435,7.7127337,-28.552835,29.988836,43.89723459,-107.963072
1990,370.9,1.0189561,0,34.300003,3022.2522,8.302891,-24.129915,29.668,43.89723459,-107.963072
1991,349.90002,0.9612638,0,19.799995,2754.902,7.5684123,-29.659088,28.822166,43.89723459,-107.963072
1941,195.9,0.5381868,0,10.800001,2396.8945,6.584875,-15.242499,28.407501,44.66626254,-107.9530022
1942,202.9,0.5574176,0,9.100001,1931.8384,5.307248,-24.0675,25.519999,44.66626254,-107.9530022
1943,214,0.5879121,0,21.800003,2352.9675,6.4641967,-25.86542,26.538752,44.66626254,-107.9530022
